date,daily_pnl,cum_pnl,equity
2024-08-26,-210.32,-210.32,999789.68
2024-08-27,399.92,189.60000000000002,1000189.6
2024-08-29,210.92,400.52,1000400.52
2024-08-30,99.5,500.02,1000500.02
2024-09-02,-414.66,85.35999999999996,1000085.36
2024-09-03,158.15,243.50999999999996,1000243.51
2024-09-04,-18.38,225.12999999999997,1000225.13
2024-09-05,-202.89,22.23999999999998,1000022.24
2024-09-06,-1338.6,-1316.36,998683.64
2024-09-09,548.31,-768.05,999231.95
2024-09-10,-637.41,-1405.46,998594.54
2024-09-11,178.17,-1227.29,998772.71
2024-09-13,416.88,-810.41,999189.59
2024-09-16,166.18,-644.23,999355.77
2024-09-17,81.76,-562.47,999437.53
2024-09-18,-357.05,-919.52,999080.48
2024-09-24,500.87,-418.65,999581.35
2024-09-25,430.52,11.870000000000005,1000011.87
2024-09-26,268.65,280.52,1000280.52
2024-09-27,-398.11,-117.59000000000003,999882.41
2024-09-30,-198.21,-315.80000000000007,999684.2
2024-10-03,-527.14,-842.94,999157.06
2024-10-07,-342.7,-1185.64,998814.36
2024-10-08,319.88,-865.7600000000001,999134.24
2024-10-09,567.14,-298.6200000000001,999701.38
2024-10-10,669.9,371.27999999999986,1000371.28
2024-10-11,779.13,1150.4099999999999,1001150.41
2024-10-14,-295.22,855.1899999999998,1000855.19
2024-10-15,-700.83,154.3599999999998,1000154.36
2024-10-16,-437.21,-282.8500000000002,999717.15
2024-10-17,-441.64,-724.4900000000002,999275.51
2024-10-21,-355.9,-1080.3900000000003,998919.61
2024-10-23,354.15,-726.2400000000004,999273.76
2024-10-24,-277.19,-1003.4300000000003,998996.57
2024-10-28,-165.86,-1169.2900000000004,998830.71
2024-10-30,423.42,-745.8700000000003,999254.13
2024-11-04,-333.11,-1078.9800000000005,998921.02
2024-11-07,-106.23,-1185.2100000000005,998814.79
2024-11-12,-229.86,-1415.0700000000006,998584.93
2024-11-14,-182.17,-1597.2400000000007,998402.76
2024-11-26,-81.79,-1679.0300000000007,998320.97
2024-11-28,55.92,-1623.1100000000006,998376.89
2024-11-29,288.19,-1334.9200000000005,998665.08
2024-12-02,-46.02,-1380.9400000000005,998619.06
2024-12-03,331.91,-1049.0300000000004,998950.97
2024-12-04,-57.34,-1106.3700000000003,998893.63
2024-12-05,-881.89,-1988.2600000000002,998011.74
2024-12-06,645.54,-1342.7200000000003,998657.28
2024-12-10,-262.72,-1605.4400000000003,998394.56
2024-12-11,254.36,-1351.0800000000004,998648.92
2024-12-12,-307.47,-1658.5500000000004,998341.45
2024-12-16,-454.64,-2113.1900000000005,997886.81
2024-12-17,-68.54,-2181.7300000000005,997818.27
2024-12-18,859.71,-1322.0200000000004,998677.98
2024-12-24,223.87,-1098.1500000000005,998901.85
2024-12-27,-118.78,-1216.9300000000005,998783.07
2025-01-01,-434.12,-1651.0500000000006,998348.95
2025-01-06,-375.9,-2026.9500000000007,997973.05
2025-01-07,-534.33,-2561.2800000000007,997438.72
2025-01-08,46.43,-2514.850000000001,997485.15
2025-01-09,32.48,-2482.370000000001,997517.63
2025-01-10,-537.78,-3020.1500000000005,996979.85
2025-01-14,267.11,-2753.0400000000004,997246.96
2025-01-15,412.94,-2340.1000000000004,997659.9
2025-01-16,-826.82,-3166.9200000000005,996833.08
2025-01-20,1078.08,-2088.8400000000006,997911.16
2025-01-21,-409.6,-2498.4400000000005,997501.56
2025-01-22,445.31,-2053.1300000000006,997946.87
2025-01-27,-305.57,-2358.7000000000007,997641.3
2025-01-31,290.12,-2068.580000000001,997931.42
2025-02-05,569.58,-1499.000000000001,998501.0
2025-02-06,-156.59,-1655.5900000000008,998344.41
2025-02-07,614.31,-1041.2800000000009,998958.72
2025-02-11,383.53,-657.7500000000009,999342.25
2025-02-12,-14.85,-672.6000000000009,999327.4
2025-02-18,5.85,-666.7500000000009,999333.25
2025-02-19,142.22,-524.5300000000009,999475.47
2025-02-20,847.8,323.2699999999991,1000323.27
2025-02-21,-627.9,-304.6300000000009,999695.37
2025-02-24,-76.67,-381.3000000000009,999618.7
2025-02-25,321.91,-59.390000000000896,999940.61
2025-02-27,102.47,43.0799999999991,1000043.08
2025-02-28,-180.23,-137.1500000000009,999862.85
2025-03-03,-235.84,-372.9900000000009,999627.01
2025-03-04,14.18,-358.8100000000009,999641.19
2025-03-05,-232.15,-590.960000000001,999409.04
2025-03-11,-177.03,-767.9900000000009,999232.01
2025-03-12,258.71,-509.28000000000094,999490.72
2025-03-13,161.05,-348.2300000000009,999651.77
2025-03-19,234.47,-113.76000000000093,999886.24
2025-03-20,367.6,253.8399999999991,1000253.84
2025-03-21,-208.35,45.4899999999991,1000045.49
2025-03-25,391.32,436.8099999999991,1000436.81
2025-03-26,158.37,595.1799999999992,1000595.18
2025-03-27,215.34,810.5199999999992,1000810.52
2025-04-02,481.76,1292.2799999999993,1001292.28
2025-04-03,183.95,1476.2299999999993,1001476.23
2025-04-04,-590.14,886.0899999999993,1000886.09
2025-04-15,191.65,1077.7399999999993,1001077.74
2025-04-22,-28.64,1049.0999999999992,1001049.1
2025-04-23,-131.19,917.9099999999992,1000917.91
2025-04-30,159.84,1077.749999999999,1001077.75
2025-05-06,216.45,1294.1999999999991,1001294.2
2025-05-08,-1562.08,-267.8800000000008,999732.12
2025-05-15,-365.69,-633.5700000000008,999366.43
2025-05-19,108.26,-525.3100000000009,999474.69
2025-05-20,-420.72,-946.0300000000009,999053.97
2025-05-21,-346.06,-1292.0900000000008,998707.91
2025-05-22,1106.73,-185.3600000000008,999814.64
2025-05-23,-2.27,-187.63000000000082,999812.37
2025-05-30,-167.57,-355.20000000000084,999644.8
2025-06-05,-10.3,-365.50000000000085,999634.5
2025-06-06,400.24,34.739999999999156,1000034.74
2025-06-10,789.85,824.5899999999992,1000824.59
2025-06-11,-154.37,670.2199999999992,1000670.22
2025-06-12,-476.17,194.04999999999922,1000194.05
2025-06-17,141.6,335.6499999999992,1000335.65
2025-06-18,-363.58,-27.930000000000803,999972.07
2025-06-19,-286.56,-314.4900000000008,999685.51
2025-06-25,355.76,41.269999999999186,1000041.27
2025-06-26,299.33,340.59999999999917,1000340.6
2025-06-30,-192.58,148.01999999999916,1000148.02
2025-07-02,-91.79,56.22999999999915,1000056.23
2025-07-03,-422.21,-365.9800000000008,999634.02
2025-07-04,-451.61,-817.5900000000008,999182.41
2025-07-08,526.63,-290.96000000000083,999709.04
2025-07-09,-150.3,-441.26000000000084,999558.74
2025-07-10,-316.12,-757.3800000000008,999242.62
2025-07-11,-236.93,-994.3100000000009,999005.69
2025-07-14,32.35,-961.9600000000008,999038.04
2025-07-15,-173.52,-1135.480000000001,998864.52
2025-07-16,126.64,-1008.8400000000009,998991.16
2025-07-17,-173.32,-1182.160000000001,998817.84
2025-07-18,-474.31,-1656.470000000001,998343.53
2025-07-21,-179.41,-1835.880000000001,998164.12
2025-07-22,-166.55,-2002.430000000001,997997.57
2025-07-23,128.67,-1873.760000000001,998126.24
2025-07-24,-270.17,-2143.9300000000007,997856.07
2025-07-29,464.49,-1679.4400000000007,998320.56
2025-07-30,319.35,-1360.0900000000006,998639.91
2025-07-31,209.43,-1150.6600000000005,998849.34
2025-08-01,-0.58,-1151.2400000000005,998848.76
2025-08-05,-354.91,-1506.1500000000005,998493.85
2025-08-06,-45.24,-1551.3900000000006,998448.61
2025-08-07,-421.71,-1973.1000000000006,998026.9
2025-08-11,137.85,-1835.2500000000007,998164.75
2025-08-12,-141.6,-1976.8500000000006,998023.15
2025-08-13,248.72,-1728.1300000000006,998271.87
2025-08-14,-220.48,-1948.6100000000006,998051.39
2025-08-19,157.86,-1790.7500000000005,998209.25
2025-08-20,-145.68,-1936.4300000000005,998063.57
2025-08-21,18.0,-1918.4300000000005,998081.57
2025-08-22,265.15,-1653.2800000000007,998346.72
2025-08-25,387.75,-1265.5300000000007,998734.47
2025-08-26,312.66,-952.8700000000006,999047.13
2025-08-29,239.6,-713.2700000000006,999286.73
2025-09-01,179.31,-533.9600000000005,999466.04
2025-09-02,-69.61,-603.5700000000005,999396.43
2025-09-03,194.5,-409.0700000000005,999590.93
2025-09-05,-612.2,-1021.2700000000006,998978.73
2025-09-08,-60.27,-1081.5400000000006,998918.46
