profit_target,stop_loss,exit_time,iv_momentum_threshold,trades,total_return,sharpe,profit_factor,max_drawdown,win_rate,avg_win,avg_loss,cagr,sharpe_valid,pf_valid
0.03,0.04,11:30:00,0.0,96,-0.0235,-10.5284,0.2205,-0.0235,0.25,276.76,-418.42,-0.0162,-10.5284,0.2205
0.03,0.04,11:30:00,0.003,82,-0.0205,-10.5893,0.2171,-0.0205,0.2561,270.41,-428.78,-0.0141,-10.5893,0.2171
0.03,0.04,11:30:00,0.005,73,-0.0179,-10.6231,0.2154,-0.0181,0.2603,259.25,-423.47,-0.0124,-10.6231,0.2154
0.03,0.04,11:30:00,0.01,54,-0.0135,-10.2682,0.2313,-0.0136,0.2593,290.39,-439.46,-0.0093,-10.2682,0.2313
0.03,0.04,12:00:00,0.0,96,-0.0242,-10.3633,0.2209,-0.0241,0.2604,274.01,-436.67,-0.0166,-10.3633,0.2209
0.03,0.04,12:00:00,0.003,82,-0.0209,-10.4,0.2199,-0.0209,0.2683,267.57,-446.24,-0.0144,-10.4,0.2199
0.03,0.04,12:00:00,0.005,73,-0.0178,-10.1771,0.2239,-0.0179,0.274,256.68,-432.55,-0.0122,-10.1771,0.2239
0.03,0.04,12:00:00,0.01,54,-0.0129,-9.4006,0.2492,-0.0131,0.2778,284.88,-439.67,-0.0089,-9.4006,0.2492
0.03,0.04,13:00:00,0.0,96,-0.0276,-11.3853,0.2032,-0.0276,0.2604,281.72,-488.19,-0.019,-11.3853,0.2032
0.03,0.04,13:00:00,0.003,82,-0.024,-11.4401,0.2024,-0.0239,0.2683,276.34,-500.54,-0.0165,-11.4401,0.2024
0.03,0.04,13:00:00,0.005,73,-0.0199,-11.0504,0.2115,-0.0199,0.274,266.33,-475.27,-0.0137,-11.0504,0.2115
0.03,0.04,13:00:00,0.01,54,-0.0145,-10.3463,0.2338,-0.0146,0.2778,294.75,-484.96,-0.01,-10.3463,0.2338
0.03,0.04,14:00:00,0.0,96,-0.0288,-11.4754,0.2071,-0.0291,0.25,313.11,-503.94,-0.0198,-11.4754,0.2071
