profit_target,stop_loss,exit_time,iv_momentum_threshold,trades,total_return,sharpe,profit_factor,max_drawdown,win_rate
0.07,0.06,12:00:00,0.01,54,-0.0147,-8.9958,0.2516,-0.0152,0.1852
0.03,0.06,12:00:00,0.01,54,-0.0132,-9.1132,0.2449,-0.0138,0.2778
0.03,0.08,12:00:00,0.01,54,-0.014,-9.1355,0.234,-0.0146,0.2778
0.07,0.08,13:00:00,0.0,96,-0.0289,-9.186,0.2547,-0.0308,0.1875
0.07,0.04,12:00:00,0.01,54,-0.0144,-9.1892,0.255,-0.0147,0.1852
0.07,0.08,12:00:00,0.01,54,-0.0157,-9.1949,0.2393,-0.0161,0.1852
0.07,0.06,13:00:00,0.0,96,-0.0293,-9.2176,0.2522,-0.0312,0.1875
0.07,0.08,13:00:00,0.003,82,-0.0254,-9.2488,0.2495,-0.0274,0.1951
0.07,0.06,13:00:00,0.003,82,-0.0255,-9.2863,0.2488,-0.0276,0.1951
0.07,0.06,12:00:00,0.005,73,-0.0193,-9.3013,0.2408,-0.0201,0.2055
