date,strategy_type,entry_time,exit_time,exit_reason,spot_at_entry,spot_at_exit,ce_entry,pe_entry,ce_exit,pe_exit,entry_premium,exit_premium,gross_pnl,txn_cost,net_pnl,opening_range_pct,intraday_range_pct,iv_ce_entry,iv_pe_entry,iv_ce_exit,iv_pe_exit,holding_minutes,max_adverse_excursion,spot_range_high,spot_range_low
2024-08-26,Short Straddle,09:30:00,09:39:00,breakout_stop,24924.8,24975.85,131.5,90.25,119.8,106.8,221.75,226.6,-121.25,89.07,-210.32,0.003368,0.002855,11.3507,11.9682,12.86,11.2679,9.0,121.25,24924.8,24880.9
2024-08-27,Short Straddle,09:30:00,10:18:00,profit_target,24989.75,25026.7,99.2,93.4,78.9,94.2,192.60000000000002,173.10000000000002,487.5,87.58,399.92,0.002765,0.003065,12.347,12.2635,10.6546,11.5807,48.0,0.0,25030.9,24989.75
2024-08-29,Short Straddle,09:30:00,10:18:00,profit_target,25053.8,25104.15,55.65,48.35,55.65,36.55,104.0,92.19999999999999,295.0,84.08,210.92,0.002471,0.002555,20.2631,19.5747,21.7054,16.1601,48.0,102.5,25062.75,25028.2
2024-08-30,Short Straddle,09:30:00,14:30:00,time_stop,25227.85,25239.5,363.95,297.0,372.7,280.0,660.95,652.7,206.25,106.75,99.5,0.002729,0.003486,9.9669,13.6462,10.1023,13.2241,300.0,470.0,25253.0,25226.85
2024-09-02,Short Straddle,09:30:00,14:30:00,time_stop,25292.65,25270.7,360.5,273.5,363.95,282.4,634.0,646.3499999999999,-308.75,105.91,-414.66,0.002086,0.003572,10.5294,13.4135,10.0926,14.2822,300.0,518.75,25317.25,25292.65
2024-09-03,Short Straddle,09:30:00,14:30:00,time_stop,25266.05,25268.55,360.8,272.55,367.0,255.8,633.35,622.8,263.75,105.6,158.15,0.003748,0.002725,10.3856,13.9557,10.6596,13.3579,300.0,75.0,25274.5,25266.05
2024-09-04,Short Straddle,09:30:00,13:15:00,breakout_stop,25114.1,25176.55,364.5,273.6,338.5,296.1,638.1,634.6,87.5,105.88,-18.38,0.003608,0.002654,11.079,14.2229,10.9272,14.4739,225.0,350.0,25114.1,25090.3
2024-09-05,Short Straddle,09:30:00,10:36:00,breakout_stop,25219.35,25160.5,354.05,269.65,355.0,272.6,623.7,627.6,-97.5,105.39,-202.89,0.002435,0.00271,10.8693,14.3082,11.1853,14.309,66.0,102.5,25257.3,25217.1
2024-09-06,Short Straddle,09:30:00,09:45:00,breakout_stop,25156.75,25021.35,325.5,271.0,357.1,288.75,596.5,645.85,-1233.75,104.85,-1338.6,0.003812,0.003593,10.4245,14.3818,11.5169,15.4927,15.0,1233.75,25156.75,25096.75
2024-09-09,Short Straddle,09:30:00,10:39:00,breakout_stop,24775.3,24860.25,335.25,298.9,336.5,271.5,634.15,608.0,653.75,105.44,548.31,0.003679,0.003177,13.3727,15.9961,12.4886,15.4219,69.0,0.0,24810.3,24755.65
2024-09-10,Short Straddle,09:30:00,09:54:00,breakout_stop,24989.65,24923.15,281.8,263.15,305.9,260.45,544.95,566.3499999999999,-535.0,102.41,-637.41,0.003273,0.003277,10.8578,14.8112,11.1429,15.4409,24.0,535.0,24995.35,24983.55
2024-09-11,Short Straddle,09:30:00,10:42:00,breakout_stop,25018.35,25086.85,274.0,235.95,248.0,250.8,509.95,498.8,278.75,100.58,178.17,0.00306,0.003044,10.1702,14.4066,9.7676,14.4289,72.0,10.0,25032.8,24983.9
2024-09-13,Short Straddle,09:30:00,14:30:00,time_stop,25293.85,25365.15,226.1,226.2,235.2,196.5,452.29999999999995,431.7,515.0,98.12,416.88,0.002999,0.003782,9.3851,13.9007,9.2969,12.8717,300.0,58.75,25357.2,25293.85
2024-09-16,Short Straddle,09:30:00,14:30:00,time_stop,25410.45,25397.15,223.4,181.55,223.2,171.25,404.95000000000005,394.45,262.5,96.32,166.18,0.002113,0.003518,10.5913,12.971,11.1932,12.0939,300.0,218.75,25410.45,25391.4
2024-09-17,Short Straddle,09:30:00,14:30:00,time_stop,25387.25,25421.85,206.65,182.95,219.6,162.9,389.6,382.5,177.5,95.74,81.76,0.002911,0.003031,11.1585,12.8962,10.9192,12.704,300.0,172.5,25387.25,25358.9
2024-09-18,Short Straddle,09:30:00,10:42:00,breakout_stop,25407.95,25466.5,214.6,171.1,220.05,176.1,385.7,396.15,-261.25,95.8,-357.05,0.002127,0.002853,11.8331,13.2781,11.896,13.8684,72.0,261.25,25413.6,25389.1
2024-09-24,Short Straddle,09:30:00,13:06:00,profit_target,25927.0,25959.35,104.7,127.3,110.1,98.3,232.0,208.39999999999998,590.0,89.13,500.87,0.002808,0.003116,13.3226,15.2422,12.4201,14.0153,216.0,42.5,25932.95,25922.25
2024-09-25,Short Straddle,09:30:00,11:24:00,profit_target,25938.9,25928.75,74.6,103.65,75.05,82.5,178.25,157.55,517.5,86.98,430.52,0.002521,0.003518,12.5081,16.9403,13.8913,12.9523,114.0,17.5,25944.35,25920.55
2024-09-26,Short Straddle,09:30:00,09:48:00,profit_target,26033.6,26048.1,62.55,67.25,63.55,52.1,129.8,115.65,353.75,85.1,268.65,0.002552,0.002988,25.6771,22.0012,24.0852,19.6717,18.0,63.75,26049.25,26025.55
2024-09-27,Short Straddle,09:30:00,14:30:00,time_stop,26229.4,26206.0,401.95,317.1,449.65,280.95,719.05,730.5999999999999,-288.75,109.36,-398.11,0.002747,0.004095,8.6235,13.156,9.7312,12.3704,300.0,303.75,26237.75,26222.05
2024-09-30,Short Straddle,09:30:00,09:48:00,breakout_stop,26042.0,25987.6,438.05,286.1,436.5,291.2,724.1500000000001,727.7,-88.75,109.46,-198.21,0.003258,0.002509,10.56,12.6742,10.6319,12.8062,18.0,333.75,26097.9,26042.0
2024-10-03,Short Straddle,09:30:00,11:09:00,breakout_stop,25588.9,25492.75,428.0,265.8,440.1,270.45,693.8,710.55,-418.75,108.4,-527.14,0.00324,0.004062,11.5373,12.4085,11.9807,12.6796,99.0,418.75,25588.9,25545.45
2024-10-07,Short Straddle,09:30:00,10:36:00,breakout_stop,25052.65,24986.8,446.85,263.0,435.0,284.2,709.85,719.2,-233.75,108.95,-342.7,0.00387,0.003137,13.8772,13.2687,13.8262,13.8747,66.0,300.0,25122.85,25052.65
2024-10-08,Short Straddle,09:30:00,10:24:00,breakout_stop,24807.6,24885.8,463.05,283.65,439.55,289.95,746.7,729.5,430.0,110.12,319.88,0.003477,0.003874,15.0546,14.4691,14.5507,14.309,54.0,788.75,24835.2,24790.9
2024-10-09,Short Straddle,09:30:00,10:06:00,breakout_stop,25048.7,25131.05,387.5,275.85,369.55,266.85,663.35,636.4000000000001,673.75,106.61,567.14,0.002252,0.003399,12.446,14.174,12.0752,13.8695,36.0,260.0,25070.1,25048.7
2024-10-10,Short Straddle,09:30:00,10:15:00,breakout_stop,25043.05,25129.05,377.0,250.5,360.0,236.5,627.5,596.5,775.0,105.1,669.9,0.002162,0.003851,12.5946,13.1,12.1683,12.224,45.0,157.5,25073.45,25033.2
2024-10-11,Short Straddle,09:30:00,14:30:00,time_stop,24962.1,24962.05,364.8,221.25,332.75,218.0,586.05,550.75,882.5,103.37,779.13,0.003926,0.004761,12.1207,12.4083,10.8088,12.3026,300.0,0.0,24986.75,24949.2
2024-10-14,Short Straddle,09:30:00,10:00:00,breakout_stop,25044.2,25115.75,304.7,221.4,334.75,199.1,526.1,533.85,-193.75,101.47,-295.22,0.001971,0.003015,11.2808,12.6393,12.0848,12.0045,30.0,288.75,25058.9,25028.8
2024-10-15,Short Straddle,09:30:00,09:51:00,breakout_stop,25179.7,25100.2,275.4,199.2,293.4,205.25,474.59999999999997,498.65,-601.25,99.58,-700.83,0.00283,0.00334,10.7132,11.4516,11.0757,12.2067,21.0,601.25,25193.35,25176.2
2024-10-16,Short Straddle,09:30:00,11:27:00,breakout_stop,25053.55,24959.2,282.95,198.0,284.1,210.35,480.95,494.45000000000005,-337.5,99.71,-437.21,0.003602,0.003648,11.0301,12.179,11.0243,12.9793,117.0,448.75,25053.55,25016.4
2024-10-17,Short Straddle,09:30:00,09:36:00,breakout_stop,24943.75,24873.1,265.0,201.9,284.8,195.8,466.9,480.6,-342.5,99.14,-441.64,0.002688,0.002672,11.0312,12.4685,11.2333,12.8462,6.0,342.5,24969.25,24932.9
2024-10-21,Short Straddle,09:30:00,09:33:00,breakout_stop,24857.25,24800.8,238.7,180.25,238.75,190.55,418.95,429.3,-258.75,97.15,-355.9,0.003319,0.002349,11.9259,13.0519,12.181,13.5292,3.0,258.75,24955.5,24857.25
2024-10-23,Short Straddle,09:30:00,10:15:00,breakout_stop,24472.05,24549.25,256.4,170.0,241.7,166.65,426.4,408.35,451.25,97.1,354.15,0.00359,0.003641,14.7123,14.0806,14.5361,13.1251,45.0,276.25,24491.55,24446.55
2024-10-24,Short Straddle,09:30:00,09:39:00,breakout_stop,24415.65,24354.3,210.0,149.25,209.3,157.25,359.25,366.55,-182.5,94.69,-277.19,0.00366,0.003244,12.8477,13.0916,13.2987,13.3368,9.0,245.0,24441.95,24409.35
2024-10-28,Short Straddle,09:30:00,09:39:00,breakout_stop,24214.25,24162.5,158.3,139.0,166.2,134.05,297.3,300.25,-73.75,92.11,-165.86,0.003438,0.002521,15.3384,17.1565,16.3692,16.5675,9.0,73.75,24264.4,24214.25
2024-10-30,Short Straddle,09:30:00,10:51:00,profit_target,24363.55,24429.75,111.4,87.6,89.6,88.95,199.0,178.55,511.25,87.83,423.42,0.003325,0.003353,17.6128,17.2733,17.1591,14.8378,81.0,52.5,24393.55,24360.3
2024-11-04,Short Straddle,09:30:00,10:03:00,breakout_stop,24103.25,24001.95,464.65,347.55,463.0,358.0,812.2,821.0,-220.0,113.11,-333.11,0.003643,0.004333,15.2905,17.1667,15.3432,17.6385,33.0,220.0,24144.65,24076.65
2024-11-07,Short Straddle,09:30:00,09:57:00,breakout_stop,24351.45,24279.8,377.95,267.7,364.15,281.5,645.65,645.65,0.0,106.23,-106.23,0.003885,0.002661,12.8875,14.3028,12.8716,14.5247,27.0,38.75,24441.75,24351.45
2024-11-12,Short Straddle,09:30:00,10:39:00,breakout_stop,24170.1,24118.75,307.55,210.5,307.85,215.35,518.05,523.2,-128.75,101.11,-229.86,0.003657,0.004694,11.7529,13.2776,11.8658,13.5287,69.0,132.5,24209.55,24170.1
2024-11-14,Short Straddle,09:30:00,09:39:00,breakout_stop,23586.7,23515.1,291.9,222.0,315.65,201.5,513.9,517.15,-81.25,100.92,-182.17,0.003447,0.005202,13.5029,13.9779,14.0008,13.5877,9.0,81.25,23604.25,23578.5
2024-11-26,Short Straddle,09:30:00,09:51:00,breakout_stop,24312.55,24243.55,137.4,122.2,130.6,128.65,259.6,259.25,8.75,90.54,-81.79,0.003325,0.002933,16.1862,17.8107,16.7028,17.5541,21.0,218.75,24316.5,24294.8
2024-11-28,Short Straddle,09:30:00,10:09:00,breakout_stop,24270.75,24341.8,76.45,56.55,61.35,66.0,133.0,127.35,141.25,85.33,55.92,0.003817,0.0033,25.5884,26.588,27.0219,26.1551,39.0,461.25,24282.05,24270.75
2024-11-29,Short Straddle,09:30:00,10:30:00,breakout_stop,24013.85,24087.3,466.35,290.9,444.85,296.45,757.25,741.3,398.75,110.56,288.19,0.003812,0.004116,13.8889,14.5514,13.5997,14.2948,60.0,185.0,24029.1,23972.9
